itemId,itemName,stateDesc,raisedDesc,originDesc,regionDesc,salesUnitQuantity,unitDesc,sizeDesc,sizeCriteria,storeCount
1,광어,활어,양식,국산,제주,1,kg,소,500g~1kg미만,33
2,광어,활어,양식,국산,제주,1,kg,중,1~2kg미만,70
3,광어,활어,양식,국산,제주,1,kg,대,2~3kg미만,75
13,레드 킹크랩,활어,자연산,수입산,러시아,1,kg,중,2~3kg미만,75
17,대게,활어,자연산,수입산,러시아,1,kg,대,1.2~1.5kg미만,73
38,랍스터,활어,자연산,수입산,캐나다,1,kg,중,2~3kg미만,1
45,수꽃게,활어,자연산,국산,서해,1,kg,대,3~4마리,1
48,수꽃게,냉동,자연산,국산,서해,1,kg,대,3~4마리,11
49,암꽃게,냉동,자연산,국산,서해,1,kg,대,3~4마리,12
51,농어,활어,양식,수입산,중국,1,kg,소,1kg미만,2
52,농어,활어,양식,수입산,중국,1,kg,중,1~2kg미만,59
53,농어,활어,양식,수입산,중국,1,kg,대,2~3kg미만,83
54,참돔,활어,양식,수입산,일본,1,kg,대,2~3kg미만,65
55,참돔,활어,양식,수입산,일본,1,kg,중,1~2kg미만,40
60,참돔,활어,양식,국산,없음,1,kg,소,1kg미만,1
61,참돔,활어,양식,국산,없음,1,kg,중,1~2kg미만,43
62,참돔,활어,양식,국산,없음,1,kg,대,2~3kg미만,51
63,돌돔,활어,양식,수입산,일본,1,kg,대,2~3kg미만,21
64,돌돔,활어,양식,수입산,일본,1,kg,소,500g~1kg미만,8
65,돌돔,활어,양식,수입산,일본,1,kg,소소,500g미만,2
66,돌돔,활어,양식,국산,없음,1,kg,소소,500g미만,19
67,돌돔,활어,양식,국산,없음,1,kg,소,500g~1kg미만,6
73,벵에돔,활어,양식,수입산,일본,1,kg,대,700g~1kg미만,5
74,벵에돔,활어,양식,수입산,일본,1,kg,중,500~700g미만,2
78,강담돔,활어,양식,수입산,일본,1,kg,소,500g~1kg미만,3
79,강담돔,활어,양식,수입산,일본,1,kg,중,1~2kg미만,24
85,가숭어,활어,양식,국산,없음,1,kg,소,1kg미만,3
86,가숭어,활어,양식,국산,없음,1,kg,대,2kg이상,5
87,가숭어,활어,자연산,국산,없음,1,kg,대,2kg이상,11
90,보리숭어,활어,자연산,국산,없음,1,kg,대,2kg이상,8
91,능성어,활어,양식,국산,없음,1,kg,대,2~2.5kg미만,39
92,능성어,활어,양식,수입산,중국,1,kg,소,1.5kg미만,3
95,괴도라치,활어,자연산,국산,동해,1,kg,소,400~600g미만,3
97,쥐노래미,활어,자연산,국산,없음,1,kg,대,800g~1kg미만,4
100,연어,선어,양식,수입산,노르웨이,600,g,없음,없음,52
100,연어,선어,양식,수입산,노르웨이,700,g,없음,없음,5
100,연어,선어,양식,수입산,노르웨이,100,g,없음,없음,4
100,연어,선어,양식,수입산,노르웨이,500,g,없음,없음,2
100,연어,선어,양식,수입산,노르웨이,800,g,없음,없음,2
100,연어,선어,양식,수입산,노르웨이,400,g,없음,없음,1
100,연어,선어,양식,수입산,노르웨이,300,g,없음,없음,1
108,부시리,활어,자연산,국산,동해,1,kg,중,2~5kg미만,1
131,강도다리,활어,양식,국산,없음,1,kg,중,500g~1kg미만,22
138,붉바리,활어,자연산,국산,남해,1,kg,소,1kg미만,8
171,참소라,활어,자연산,국산,없음,1,kg,대,6~10마리,40
194,전복,활어,양식,국산,없음,1,kg,소,20~25미,21
195,전복,활어,양식,국산,없음,1,kg,소,16~20미,21
196,전복,활어,양식,국산,없음,1,kg,대,9~10미,27
197,전복,활어,양식,국산,없음,1,kg,대,8~9미,6
216,돌문어,활어,자연산,국산,남해,1,kg,대,1.5~2kg미만,6
217,피문어,활어,자연산,국산,동해,1,kg,소,3~5kg미만,9
275,수꽃게,냉동,자연산,국산,서해,1,kg,중,4~5마리,6
276,암꽃게,냉동,자연산,국산,서해,1,kg,중,4~5마리,5
280,농어,활어,자연산,국산,없음,1,kg,대,2~3kg미만,3
284,참돔,활어,자연산,국산,없음,1,kg,중,1~2kg미만,1
285,참돔,활어,자연산,국산,없음,1,kg,대,2~3kg미만,5
286,돌돔,활어,자연산,국산,없음,1,kg,소,500g~1kg미만,2
288,돌돔,활어,자연산,국산,없음,1,kg,대,2~3kg미만,6
297,부시리,활어,자연산,국산,동해,1,kg,대,5~8kg미만,1
301,강도다리,활어,양식,수입산,중국,1,kg,소,500g미만,1
310,홍게,활어,자연산,국산,동해,1,kg,대,800g~1kg미만,8
315,대하,냉동,자연산,국산,없음,1,kg,중,30마리 내외,1
379,농어,활어,양식,국산,없음,1,kg,소,1kg미만,2
400,홍게,활어,자연산,국산,동해,1,kg,특대,1kg이상,6
401,홍게,활어,자연산,국산,동해,1,kg,중,500~800g미만,9
402,홍게,활어,자연산,국산,동해,1,kg,소,500g미만,1
418,쥐노래미,활어,자연산,국산,없음,1,kg,중,600~800g미만,6
423,민어,선어,자연산,국산,남해,1,kg,소,1~3kg미만,1
428,민어,선어,자연산,국산,남해,1,kg,중,3~5kg미만,1
477,대게,활어,자연산,수입산,러시아,1,kg,소,800g~1kg미만,21
480,수꽃게,활어,자연산,국산,서해,1,kg,특대,2~3마리,4
482,대하,냉동,자연산,국산,없음,1,kg,대,25마리 내외,2
497,랍스터,활어,자연산,수입산,캐나다,1,kg,소소,1kg미만,3
503,레드 킹크랩,활어,자연산,수입산,러시아,1,kg,소,1~2kg미만,3
505,전복,활어,양식,국산,없음,1,kg,중,14~15미,28
506,전복,활어,양식,국산,없음,1,kg,소,26~30미,4
545,농어,활어,양식,국산,없음,1,kg,중,1~2kg미만,6
546,농어,활어,양식,국산,없음,1,kg,대,2~3kg미만,2
551,쥐노래미,활어,자연산,국산,없음,1,kg,소,400~600g미만,2
555,동갈돗돔,활어,양식,수입산,중국,1,kg,중,1~2kg미만,2
561,광어,활어,양식,국산,제주,1,kg,특대,3~4kg미만,53
562,부시리,활어,자연산,국산,동해,1,kg,특대,8kg이상,1
577,참소라,활어,자연산,국산,없음,1,kg,중,11~15마리,8
578,참소라,활어,자연산,국산,없음,1,kg,소,15~20마리,12
606,대게,활어,자연산,국산,동해,1,kg,중,500~800g미만,1
613,줄가자미,활어,자연산,국산,없음,1,kg,대,800g~1kg미만,1
625,전복,활어,양식,국산,없음,1,kg,대,7~8미,24
629,돌문어,활어,자연산,국산,남해,1,kg,소,1kg미만,5
637,참소라,활어,자연산,수입산,중국,1,kg,대,6~10마리,3
650,참다랑어,선어,자연산,국산,없음,1,kg,대,60~100kg미만,1
652,강도다리,활어,양식,국산,없음,1,kg,소,500g미만,65
653,강도다리,활어,양식,국산,없음,1,kg,대,1kg이상,59
666,능성어,활어,양식,국산,없음,1,kg,중,1.5~2kg미만,41
746,블루 킹크랩,활어,자연산,수입산,러시아,1,kg,소,1~2kg미만,1
770,괴도라치,활어,자연산,국산,서해,1,kg,중,600~800g미만,3
771,괴도라치,활어,자연산,국산,서해,1,kg,대,800g~1kg미만,2
775,괴도라치,활어,자연산,국산,서해,1,kg,소,400~600g미만,8
844,농어,활어,양식,수입산,중국,1,kg,특대,3kg이상,29
927,랍스터,활어,자연산,수입산,캐나다,1,kg,소,1~2kg미만,29
928,랍스터,활어,자연산,수입산,캐나다,1,kg,중,2~3kg미만,51
1005,돌문어,활어,자연산,국산,남해,1,kg,중,1~1.5kg미만,6
1047,능성어,활어,양식,국산,없음,1,kg,소,1.5kg미만,12
1060,수꽃게,냉동,자연산,국산,서해,1,kg,특대,2~3마리,10
1113,보리숭어,활어,자연산,국산,없음,1,kg,중,1~2kg미만,21
1157,가숭어,활어,양식,국산,없음,1,kg,중,1~2kg미만,16
1158,가숭어,활어,자연산,국산,없음,1,kg,중,1~2kg미만,13
1208,레드 킹크랩,활어,자연산,수입산,러시아,1,kg,중,2~3kg미만,3
1222,돌가자미,활어,자연산,국산,없음,1,kg,중,500g~1kg미만,1
1223,돌가자미,활어,자연산,국산,없음,1,kg,대,1~2kg미만,9
1240,수꽃게,냉동,자연산,국산,서해,1,kg,중,4~5마리,5
1240,수꽃게,냉동,자연산,국산,서해,2,kg,중,4~5마리,1
1294,전복,활어,양식,국산,없음,1,kg,중,12~13미,7
1295,전복,활어,양식,국산,없음,1,kg,중,11~12미,8
1296,전복,활어,양식,국산,없음,1,kg,중,10~11미,20
1297,전복,활어,양식,국산,없음,1,kg,특대,6~7미,11
1298,전복,활어,양식,국산,없음,1,kg,특대,5~6미,6
1306,대게,활어,자연산,수입산,러시아,1,kg,특대,1.5kg이상,49
1375,털게,활어,자연산,수입산,러시아,1,kg,대,1.2~1.5kg미만,14
1402,털게,활어,자연산,수입산,러시아,1,kg,소,800g~1kg미만,2
1410,돌돔,활어,양식,수입산,일본,1,kg,중,1~2kg미만,55
1415,랍스터,활어,자연산,수입산,캐나다,1,kg,대,3~4kg미만,30
1420,전복,활어,양식,국산,없음,1,kg,중,13~14미,6
1426,광어,활어,양식,국산,제주,1,kg,특특대,4kg이상,1
1427,참돔,활어,양식,국산,없음,1,kg,특대,3kg이상,21
1462,전복,활어,양식,국산,없음,1,kg,중,15~16미,14
1467,참돔,활어,양식,수입산,일본,1,kg,특대,3kg이상,56
1494,능성어,활어,양식,국산,없음,1,kg,특대,2.5kg 이상,8
1512,광어,활어,양식,국산,완도,1,kg,소,500g~1kg미만,17
1513,광어,활어,양식,국산,완도,1,kg,중,1~2kg미만,53
1514,광어,활어,양식,국산,완도,1,kg,대,2~3kg미만,59
1515,광어,활어,양식,국산,완도,1,kg,특대,3~4kg미만,46
1520,광어,활어,양식,국산,완도,1,kg,특특대,4kg이상,1
1527,암꽃게,냉동,자연산,국산,서해,1,kg,특대,2~3마리,6
1538,랍스터,활어,자연산,수입산,캐나다,1,kg,대,3~4kg미만,1
1543,브라운 킹크랩,활어,자연산,수입산,러시아,1,kg,소,1~2kg미만,1
1633,쥐노래미,활어,자연산,국산,없음,1,kg,특대,1kg이상,6
1645,돌돔,활어,자연산,국산,없음,1,kg,중,1~2kg미만,9
1652,레드 킹크랩,활어,자연산,수입산,러시아,1,kg,대,3~4kg미만,67
1715,쥐돔,활어,양식,수입산,일본,1,kg,중,1~2kg미만,1
1733,레드 킹크랩,활어,자연산,수입산,러시아,1,kg,대,3~4kg미만,2
1744,강도다리,활어,양식,수입산,중국,1,kg,중,500g~1kg미만,1
1745,강도다리,활어,양식,수입산,중국,1,kg,대,1kg이상,1
1750,능성어,활어,양식,수입산,중국,1,kg,중,1.5~2kg미만,3
1751,능성어,활어,양식,수입산,중국,1,kg,대,2~2.5kg미만,2
1756,랍스터,활어,자연산,수입산,캐나다,1,마리,소소,1kg미만,4
1857,강담돔,활어,양식,수입산,일본,1,kg,대,2~3kg미만,8
1962,돌가자미,활어,자연산,국산,없음,1,kg,특대,2kg이상,1
2065,잿방어,활어,양식,수입산,일본,1,kg,대,4~6kg미만,1
2076,털게,활어,자연산,수입산,러시아,1,kg,특대,1.5kg이상,5
2134,전복,활어,양식,국산,없음,3,마리,중,12~13미,1
2135,전복,활어,양식,국산,없음,3,마리,중,14~15미,7
2136,전복,활어,양식,국산,없음,3,마리,소,16~20미,3
2136,전복,활어,양식,국산,없음,5,마리,소,16~20미,1
2136,전복,활어,양식,국산,없음,2,마리,소,16~20미,1
2136,전복,활어,양식,국산,없음,4,마리,소,16~20미,1
2147,전복,활어,양식,국산,없음,3,마리,소,20~25미,3
2147,전복,활어,양식,국산,없음,6,마리,소,20~25미,1
2147,전복,활어,양식,국산,없음,1,마리,소,20~25미,1
2147,전복,활어,양식,국산,없음,4,마리,소,20~25미,1
2147,전복,활어,양식,국산,없음,5,마리,소,20~25미,1
2166,전복,활어,양식,국산,없음,2,마리,중,10~11미,5
2181,돌돔,활어,양식,수입산,일본,1,kg,특대,3kg이상,2
2197,전복,활어,양식,국산,없음,1,kg,특대,4~5미,1
2213,암꽃게,냉동,자연산,국산,서해,1,kg,특대,2~3마리,9
2220,전복,활어,양식,국산,없음,1,마리,대,7~8미,4
2226,전복,활어,양식,국산,없음,1,마리,중,15~16미,1
2264,농어,활어,양식,국산,없음,1,kg,특대,3kg이상,1
2266,농어,활어,자연산,국산,없음,1,kg,특대,3kg이상,8
2327,전복,활어,양식,국산,없음,7,마리,소,26~30미,2
2401,피문어,활어,자연산,국산,동해,1,kg,소소,3kg미만,23
2404,대게,활어,자연산,수입산,러시아,1,kg,중,1~1.2kg미만,58
2416,쥐노래미,활어,자연산,국산,없음,1,kg,소소,200~400g미만,2
2547,돌문어,활어,자연산,국산,서해,1,kg,중,1~1.5kg미만,1
2606,흰다리새우,냉동,양식,국산,없음,1,kg,중,30마리 내외,1
2640,능성어,활어,자연산,국산,없음,1,kg,소,1.5kg미만,2
2679,블랙타이거새우,냉동,양식,수입산,말레이시아,1,kg,소,20마리내외,5
2699,흰다리새우,냉동,양식,국산,없음,1,kg,대,25마리 내외,1
2721,블랙타이거새우,냉동,양식,수입산,말레이시아,1,kg,대,10마리내외,3
2722,암꽃게,냉동,자연산,국산,서해,1,kg,중,4~5마리,2
2722,암꽃게,냉동,자연산,국산,서해,2,kg,중,4~5마리,1
2737,전복,활어,양식,국산,없음,2,마리,대,9~10미,2
2737,전복,활어,양식,국산,없음,1,마리,대,9~10미,1
2783,블랙타이거새우,냉동,양식,수입산,말레이시아,1,kg,중,15마리내외,15
2797,수꽃게,냉동,자연산,국산,서해,1,kg,대,3~4마리,1
2844,광어,활어,양식,국산,남해,1,kg,소,500g~1kg미만,2
2845,광어,활어,양식,국산,남해,1,kg,중,1~2kg미만,3
2846,광어,활어,양식,국산,남해,1,kg,대,2~3kg미만,3
2847,광어,활어,양식,국산,남해,1,kg,특대,3~4kg미만,2
2856,광어,활어,자연산,국산,서해,1,kg,대,2~3kg미만,3
2860,광어,활어,자연산,국산,남해,1,kg,중,1~2kg미만,1
2861,광어,활어,자연산,국산,남해,1,kg,대,2~3kg미만,4
2862,광어,활어,자연산,국산,남해,1,kg,특대,3~4kg미만,4
2866,광어,활어,자연산,국산,동해,1,kg,대,2~3kg미만,1
2890,광어,활어,자연산,국산,서해,1,kg,특특대,4kg이상,1
2891,광어,활어,자연산,국산,남해,1,kg,특특대,4kg이상,2
2926,능성어,활어,양식,수입산,일본,1,kg,중,1.5~2kg미만,6
2927,능성어,활어,양식,수입산,일본,1,kg,대,2~2.5kg미만,14
2928,능성어,활어,양식,수입산,일본,1,kg,특대,2.5kg 이상,6
3094,털게,활어,자연산,수입산,러시아,1,kg,중,1~1.2kg미만,12
3138,괴도라치,활어,자연산,국산,남해,1,kg,중,600~800g미만,1
3157,돌문어,활어,자연산,국산,동해,1,kg,중,1~1.5kg미만,2
3158,돌문어,활어,자연산,국산,동해,1,kg,대,1.5~2kg미만,1
3296,잿방어,활어,양식,수입산,일본,1,kg,중,2~4kg미만,1
3464,괴도라치,활어,자연산,국산,서해,1,kg,소소,400g미만,1
3490,돌돔,활어,자연산,국산,없음,1,kg,특대,3kg이상,1
3511,쥐돔,활어,양식,수입산,일본,1,kg,대,2kg이상,1
3512,수꽃게,냉동,자연산,국산,서해,1,kg,소,5~6마리,1
3545,암꽃게,활어,자연산,국산,서해,1,kg,대,3~4마리,1
3546,암꽃게,활어,자연산,국산,서해,1,kg,특대,2~3마리,3
3707,수꽃게,활어,자연산,국산,서해,1,kg,특특대,1~2마리,1
3762,방어,활어,자연산,국산,서해,1,kg,중,4~8kg미만,1
3767,방어,활어,자연산,국산,동해,1,kg,소소,1kg미만,1
3768,방어,활어,자연산,국산,동해,1,kg,소,1~4kg미만,7
3769,방어,활어,자연산,국산,동해,1,kg,중,4~8kg미만,13
3770,방어,활어,자연산,국산,동해,1,kg,대,8~10kg미만,42
3771,방어,활어,자연산,국산,동해,1,kg,특대,10kg이상,40
3773,방어,활어,자연산,국산,남해,1,kg,소소,1kg미만,1
3774,방어,활어,자연산,국산,남해,1,kg,소,1~4kg미만,4
3775,방어,활어,자연산,국산,남해,1,kg,중,4~8kg미만,3
3776,방어,활어,자연산,국산,남해,1,kg,대,8~10kg미만,8
3777,방어,활어,자연산,국산,남해,1,kg,특대,10kg이상,3
3810,방어,활어,자연산,국산,제주,1,kg,특대,10kg이상,2
3848,방어,활어,양식,수입산,일본,1,kg,소,1~4kg미만,1
3849,방어,활어,양식,수입산,일본,1,kg,중,4~8kg미만,54
3850,방어,활어,양식,수입산,일본,1,kg,대,8~10kg미만,31
3851,방어,활어,양식,수입산,일본,1,kg,특대,10kg이상,5
3862,방어,활어,양식,국산,제주,1,kg,중,4~8kg미만,2
3867,방어,활어,양식,국산,남해,1,kg,대,8~10kg미만,1
3868,방어,활어,양식,국산,남해,1,kg,중,4~8kg미만,3
3872,방어,활어,양식,국산,동해,1,kg,특대,10kg이상,1
3874,방어,활어,양식,국산,동해,1,kg,중,4~8kg미만,1
3932,참소라,활어,자연산,국산,없음,1,kg,특대,2~5마리,19
4036,돌문어,활어,자연산,국산,남해,1,kg,특대,2kg이상,5
4094,붉바리,활어,자연산,국산,남해,1,kg,중,1~2kg미만,8
4095,붉바리,활어,자연산,국산,남해,1,kg,대,2kg이상,3
4153,줄가자미,활어,자연산,국산,없음,1,kg,특대,1kg이상,3
4229,방어,활어,양식,국산,동해,1,kg,대,8~10kg미만,2
4271,레드 킹크랩,활어,자연산,수입산,일본,1,kg,소,1~2kg미만,1
4272,레드 킹크랩,활어,자연산,수입산,일본,1,kg,중,2~3kg미만,1
4374,동갈돗돔,활어,양식,국산,없음,1,kg,소,1kg미만,1
4822,암꽃게,냉동,자연산,국산,서해,1,kg,중,4~5마리,6
4823,암꽃게,냉동,자연산,국산,서해,1,kg,대,3~4마리,13
5093,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,대,25마리 내외,7
5094,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,중,30마리 내외,34
5095,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,소,35마리 내외,11
5102,흰다리새우,냉동,양식,수입산,페루,1,kg,소,35마리내외,5
5103,흰다리새우,냉동,양식,수입산,페루,1,kg,중,30마리 내외,11
5104,흰다리새우,냉동,양식,수입산,페루,1,kg,대,25마리 내외,3
5109,흰다리새우,냉동,양식,수입산,에콰도르,15,마리,중,30마리 내외,1
5109,흰다리새우,냉동,양식,수입산,에콰도르,17,마리,중,30마리 내외,1
5109,흰다리새우,냉동,양식,수입산,에콰도르,13,마리,중,30마리 내외,1
5124,흰다리새우,냉동,양식,수입산,사우디아라비아,1,kg,소,35마리 내외,1
5125,흰다리새우,냉동,양식,수입산,사우디아라비아,1,kg,중,30마리 내외,1
5138,블랙타이거새우,냉동,양식,수입산,태국,1,kg,중,15마리내외,6
5144,블랙타이거새우,냉동,양식,수입산,베트남,1,kg,소,20마리내외,1
5154,블랙타이거새우,냉동,양식,수입산,말레이시아,5,마리,중,15마리내외,1
5155,블랙타이거새우,냉동,양식,수입산,말레이시아,1,마리,대,10마리내외,2
5552,블랙타이거새우,냉동,양식,수입산,말레이시아,1,팩,대,10마리내외,2
5614,감성돔,활어,자연산,국산,없음,1,kg,중,1~2kg미만,7
5621,감성돔,활어,양식,수입산,일본,1,kg,대,2~3kg미만,1
5622,감성돔,활어,양식,수입산,일본,1,kg,중,1~2kg미만,1
5630,감성돔,활어,양식,수입산,중국,1,kg,대,2~3kg미만,10
5631,감성돔,활어,양식,수입산,중국,1,kg,중,1~2kg미만,55
5632,감성돔,활어,양식,수입산,중국,1,kg,소,1kg미만,9
5639,감성돔,활어,양식,국산,없음,1,kg,대,2~3kg미만,2
5640,감성돔,활어,양식,국산,없음,1,kg,중,1~2kg미만,2
5641,감성돔,활어,양식,국산,없음,1,kg,소,1kg미만,3
5683,타이탄 홍게,활어,자연산,수입산,러시아,1,kg,소,800g~1kg미만,4
5684,타이탄 홍게,활어,자연산,수입산,러시아,1,kg,중,1~1.2kg미만,8
5687,타이탄 홍게,활어,자연산,수입산,러시아,1,kg,대,1.2~1.5kg미만,9
5735,참가자미,활어,자연산,국산,동해,1,kg,소,500g미만,1
5740,참가자미,활어,자연산,국산,남해,1,kg,중,500g~1kg미만,1
5750,쥐치,활어,양식,국산,없음,1,kg,중,500g~1kg미만,1
5751,쥐치,활어,양식,국산,없음,1,kg,소,500g미만,3
5756,쥐치,활어,자연산,국산,없음,1,kg,중,500g~1kg미만,2
5757,쥐치,활어,자연산,국산,없음,1,kg,소,500g미만,5
5761,터봇,활어,양식,국산,없음,1,kg,특대,3kg이상,1
5762,터봇,활어,양식,국산,없음,1,kg,대,2~3kg미만,14
5763,터봇,활어,양식,국산,없음,1,kg,중,1~2kg미만,24
5787,흰다리새우,활어,양식,국산,없음,1,kg,특대,20마리내외,1
5795,흰다리새우,활어,양식,국산,없음,1,kg,중,30마리내외,1
5796,흰다리새우,활어,양식,국산,없음,1,kg,소,35마리내외,2
5802,붕장어,활어,자연산,국산,없음,1,kg,특대,1~2마리내외,8
5804,붕장어,활어,자연산,국산,없음,1,kg,대,2~4마리 내외,26
5805,붕장어,활어,자연산,국산,없음,1,kg,중,4~7마리 내외,4
5806,붕장어,활어,자연산,국산,없음,1,kg,소,7~10마리 내외,2
5807,붕장어,활어,자연산,국산,없음,1,kg,소소,10마리이상,1
5824,민물장어,활어,양식,국산,없음,1,kg,대,1~2마리내외,8
5825,민물장어,활어,양식,국산,없음,1,kg,중,2~3마리내외,4
5826,민물장어,활어,양식,국산,없음,1,kg,소,3~4마리내외,2
5827,민물장어,활어,양식,수입산,중국,1,kg,중,2~3마리 내외,2
5891,우럭,선어,양식,국산,없음,1,마리,중,500g~1kg미만,1
5902,우럭,활어,양식,국산,없음,1,마리,중,500g~1kg미만,1
5904,우럭,활어,양식,국산,없음,1,kg,특대,1.5kg이상,3
5905,우럭,활어,양식,국산,없음,1,kg,대,1~1.5kg미만,58
5906,우럭,활어,양식,국산,없음,1,kg,중,500g~1kg미만,65
5907,우럭,활어,양식,국산,없음,1,kg,소,500g미만,23
5913,우럭,활어,자연산,국산,없음,1,kg,특대,1.5kg이상,6
5914,우럭,활어,자연산,국산,없음,1,kg,대,1~1.5kg미만,4
5916,우럭,활어,자연산,국산,없음,1,kg,중,500g~1kg미만,1
5996,돌돔,활어,양식,국산,없음,1,kg,중,1~2kg미만,2
20007,참소라,활어,자연산,수입산,중국,1,kg,특대,2~5마리,2
20009,암꽃게,냉동,자연산,국산,서해,1,kg,소,5~6마리,1
20058,참가자미,선어,자연산,국산,동해,1,마리,소,500g미만,1
20065,블랙타이거새우,냉동,양식,수입산,말레이시아,1,kg,소소,30마리내외,2
20066,블랙타이거새우,냉동,양식,수입산,말레이시아,1,마리,소소,30마리내외,2
20068,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,소소,45마리내외,1
20069,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,소,35마리내외,2
20070,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,중,30마리내외,4
20071,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,대,25마리내외,5
20072,흰다리새우,냉동,양식,수입산,에콰도르,1,kg,특대,20마리내외,1
20141,흰다리새우,냉동,양식,수입산,에콰도르,500,g,소,35마리내외,1
20142,흰다리새우,냉동,양식,수입산,에콰도르,500,g,중,30마리내외,1
20147,흰다리새우,냉동,양식,수입산,페루,500,g,중,30마리내외,2
20183,민어,선어,자연산,국산,서해,1,마리,소,1~3kg미만,1
20220,붉바리,활어,양식,국산,남해,1,kg,중,1~2kg미만,1
20249,레드 킹크랩,활어,자연산,수입산,러시아,1,kg,특대,4kg이상,9
20273,랍스터,활어,자연산,수입산,캐나다,1,kg,특대,4kg이상,7
21293,레드 킹크랩,선어,자연산,수입산,러시아,1,마리,중,2~3kg미만,1
