월별,총지수,농축수산물,(농산물)곡물,(농산물)채소,(농산물)과실,축산물,국산쇠고기,수입쇠고기,돼지고기,닭고기,달걀,수산물,갈치,명태,조기,고등어,오징어,게,굴,조개,전복,새우,마른멸치,마른오징어,낙지,김,미역,소주,맥주,막걸리,석유류,쇠고기(외식),돼지갈비(외식),삼겹살(외식),오리고기(외식),생선초밥,생선회(외식)
2015.01 ,94.643,83.728,86.778,78.03,86.044,85.279,74.267,90.063,88.175,110.477,100.066,84.233,99.339,83.114,105.291,99.115,48.16,67.412,88.395,80.862,134.746,,93.046,47.882,80.059,69.044,93.04,82.431,91.408,92.83,110.37,86.03,88.879,87.521,93.76,90.965,90.456
2015.02 ,94.587,84.803,86.044,83.019,86.906,85.088,74.855,91.944,86.751,109.139,99.804,83.918,100.603,82.292,104.797,99.633,47.906,67.971,83.62,80.756,134.885,,93.53,47.995,77.158,68.831,93.518,82.465,91.233,92.868,104.73,86.048,89.013,88.002,93.647,90.992,90.584
2015.03 ,94.596,83.141,85.292,78.934,85.252,83.837,74.252,91.043,84.424,109.907,98.405,84.026,100.823,82.002,105.238,101.654,48.611,67.488,83.225,79.948,128.789,,93.356,47.388,76.926,68.673,93.546,82.639,91.215,92.942,109.071,85.484,88.924,88.145,93.863,91.341,90.156
2015.04 ,94.625,83.208,85.395,76.993,88.168,83.811,73.408,89.394,85.675,109.191,98.832,83.67,102.418,83.363,105.375,99.905,46.478,66.425,83.225,80.087,130.716,,93.009,47.345,78.303,68.714,93.781,82.656,91.729,92.83,109.028,86.048,88.816,88.225,94.07,91.56,90.275
2015.05 ,94.89,84.988,85.685,78.506,91.728,86.364,72.897,87.941,93.878,106.4,99.882,83.289,102.548,83.687,104.934,99.604,44.994,67.136,83.225,81.425,125.076,,92.516,47.454,77.738,68.315,93.574,82.481,91.775,92.533,110.933,86.056,88.789,88.234,94.07,91.515,90.229
2015.06 ,94.909,84.61,85.429,77.36,88.786,88.301,73.57,87.326,99.535,102.437,99.134,83.107,104.143,83.089,104.535,98.683,44.557,68.012,83.225,81.221,124.645,,92.689,47.176,77.877,68.315,93.724,82.581,91.729,92.868,113.055,86.152,89.165,88.964,94.212,91.515,90.166
2015.07 ,95.08,84.182,85.258,77.944,87.289,88.102,75.614,87.665,97.409,102.582,96.559,82.063,101.575,82.267,104.892,94.094,46.098,68.937,83.225,81.547,120.26,,92.086,46.761,73.878,68.666,93.846,83.013,92.206,93.268,112.373,86.143,89.693,89.758,94.212,91.606,90.302
2015.08 ,95.213,85.206,85.105,81.6,88.629,88.831,78.346,88.966,96.497,101.68,95.655,80.606,97.433,82.94,104.577,86.675,46.333,68.371,83.225,81.784,121.945,,90.359,46.945,75.557,68.886,93.612,83.021,92.151,92.979,110.013,86.681,89.997,89.963,94.212,91.826,90.529
2015.09 ,94.966,85.046,85.181,79.909,88.133,89.813,81.822,88.832,96.104,98.567,95.227,80.54,95.728,82.774,104.188,85.293,47.517,68.723,83.225,82.119,124.315,,89.29,46.672,77.088,69.044,93.931,83.071,91.922,93.212,107.166,87.688,90.095,90.194,94.183,91.826,91.192
2015.10 ,94.966,83.376,85.642,72.761,88.838,88.215,82.975,90.045,89.918,99.159,95.733,81.533,96.23,82.591,105.249,86.892,47.502,70.476,90.681,83.081,125.101,,89.208,46.822,77.328,68.542,93.996,82.639,92.151,93.547,105.769,88.113,89.997,90.087,94.193,92.11,91.81
2015.11 ,94.786,81.294,84.618,70.306,82.144,86.946,83.253,88.734,87.18,97.509,93.76,82.85,100.572,83.853,105.406,88.65,48.212,72.167,97.065,82.902,125,,89.171,46.86,78.728,68.824,93.921,82.755,91.784,93.464,104.232,88.269,89.997,90.159,94.212,92.229,92.064
2015.12 ,95.07,83.779,83.79,79.971,82.623,87.737,83.563,87.772,89.461,97.862,93.002,83.769,102.087,84.202,105.868,88.123,47.347,75.045,112.821,83.334,125.355,,88.212,46.017,77.668,68.879,94.193,86.516,91.775,93.845,102.359,88.703,90.06,90.141,94.23,92.229,92.501
2016.01 ,95.232,85.004,81.878,86.253,83.319,87.798,85.096,89.849,87.18,100.082,92.594,83.314,107.001,83.579,105.249,90.361,46.196,77.923,99.219,82.649,120.893,,88.194,46.516,75.309,68.604,94.165,88.118,92.041,93.845,98.841,89.129,90.23,90.328,94.249,92.514,93.818
2016.02 ,95.64,89.017,81.392,98.841,87.837,88.805,87.542,90.767,87.682,98.827,91.098,84.597,110.792,85.19,105.406,94.348,45.68,80.635,97.232,83.473,126.597,,87.655,46.497,76.206,67.662,94.137,88.143,92.123,94.078,95.918,89.398,90.677,90.462,94.23,92.889,94.163
2016.03 ,95.393,87.002,81.639,93.245,86.566,86.946,86.768,90.464,84.169,99.937,87.269,84.647,110.642,85.14,105.858,96.078,45.229,81.794,89.344,83.873,121.274,,90.688,46.266,77.39,68.824,93.827,88.143,92.068,94.851,94.965,89.823,90.874,90.577,94.315,92.99,94.272
2016.04 ,95.573,86.818,80.231,91.234,87.332,87.754,87.069,88.975,86.833,98.484,86.773,85.193,113.259,85.256,105.616,94.856,45.877,85.714,89.344,86.263,119.005,,90.368,46.94,77.529,71.291,93.106,88.168,92.27,94.907,95.864,89.944,91.026,90.88,94.362,93.018,94.763
2016.05 ,95.63,85.5,78.806,85.154,86.322,88.605,87.511,89.278,89.626,95.714,84.645,85.16,113.069,81.429,105.879,95.382,44.562,89.689,89.344,86.843,119.03,,90.771,46.898,76.57,72.831,93.659,88.135,92.307,95.13,97.78,90.101,91.24,90.872,94.39,93.311,95.045
2016.06 ,95.611,83.384,78.439,73.852,83.633,91.715,88.463,89.501,96.761,98.744,84.451,84.763,110.541,84.833,105.606,92.007,44.862,92.761,89.344,86.337,116.217,,89.637,45.527,76.361,73.814,93.696,88.16,92.068,95.111,102.143,90.161,91.258,90.996,94.418,93.769,95.126
2016.07 ,95.431,83.888,77.892,75.84,82.832,92.601,89.693,90.829,97.355,99.771,84.665,85.202,107.533,85.372,106.005,90.568,47.925,96.239,89.344,86.435,114.975,,89.775,46.408,75.796,75.47,93.49,88.185,91.995,94.674,102.359,90.404,91.455,91.371,94.418,93.888,95.09
2016.08 ,95.677,85.6,77.722,85.817,83.833,91.229,90.127,89.724,93.166,100.248,85.258,84.258,102.869,86.999,106.079,86.685,47.329,95.528,89.344,88.115,112.782,,88.989,45.8,74.319,76.033,94.624,88.758,92.839,94.711,100.508,90.691,91.679,91.522,94.55,94.246,95.353
2016.09 ,96.247,92.811,77.064,114.266,85.67,94.06,91.535,92.648,97.501,102.323,89.047,84.597,106.891,86.086,103.316,89.017,46.798,90.49,89.344,89.894,114.278,,89.409,47.75,75.17,77.484,94.559,88.517,92.078,94.702,100.021,90.778,91.724,91.798,94.625,94.438,95.326
2016.10 ,96.379,89.764,75.562,99.145,87.419,93.93,91.45,94.11,96.022,106.027,90.009,84.796,108.415,86.194,104.598,87.287,49.419,86.984,92.633,90.179,114.189,,88.322,47.336,76.083,77.834,94.643,88.484,92.16,95.028,100.248,91.142,91.858,91.887,94.682,94.475,94.708
2016.11 ,96.237,87.833,74.615,93.463,84.251,92.514,89.848,93.004,94.033,102.831,91.418,87.073,111.444,87.132,103.243,86.064,57.865,87.778,105.655,90.139,116.293,,89.546,50.393,75.905,78.494,94.624,88.575,93.757,95.158,101.591,91.159,92.099,92.039,94.691,94.466,94.672
2016.12 ,96.342,89.412,74.359,96.604,88.438,92.201,89.291,94.163,91.761,100.497,99.406,88.406,111.294,89.066,103.82,86.628,62.568,86.977,108.495,89.886,114.531,,90.624,53.601,77.351,79.14,94.259,88.592,93.738,95.195,103.463,91.142,92.224,92.155,94.71,94.466,94.59
2017.01 ,97.366,93.827,74.222,101.25,99.144,95.884,89.221,94.377,91.077,95.891,149.75,90.004,114.222,88.917,104.776,86.422,61.403,89.31,102.103,90.318,122.655,,91.511,57.38,80.701,79.958,94.521,89.214,96.097,95.158,107.307,91.402,92.296,92.44,94.729,94.484,95.09
2017.02 ,97.632,94.121,73.915,99.379,102.391,95.528,88.656,95.572,91.56,104.325,137.254,90.94,118.164,88.103,103.894,88.941,64.832,89.331,96.862,90.073,123.834,,91.721,59.975,81.459,82.185,94.671,92.394,97.656,95.121,108.681,91.446,92.555,92.583,95.03,94.484,96.017
2017.03 ,97.565,92.719,72.754,94.461,103.427,94.321,88.331,94.181,90.712,110.944,124.913,91.13,119.618,88.427,102.949,91.903,66.03,87.267,89.951,90.685,119.499,,93.274,61.134,78.837,83.752,94.502,93.589,98.134,95.717,108.617,91.663,92.672,92.805,95.171,94.566,96.289
2017.04 ,97.442,90.99,72.771,85.598,102.539,95.189,87.294,93.165,93.23,107.956,132.065,91.685,119.979,87.63,104.041,93.944,67.378,88.613,90.488,90.865,112.884,,93.073,61.935,79.687,85.401,93.94,93.747,98.143,97.094,107.003,91.776,92.779,93.108,95.34,94.566,95.926
2017.05 ,97.546,90.99,73.403,77.827,104.402,98.655,87.093,91.311,100.338,113.652,142.093,92.463,119.568,87.049,104.776,95.561,70.925,89.048,91.253,90.677,114.417,,94.133,62.566,77.537,86.886,94.493,93.772,98.381,97.076,106.43,92.027,92.967,93.313,95.463,94.896,96.571
2017.06 ,97.338,89.378,72.148,75.084,98.979,99.585,85.839,92.826,103.423,112.521,142.87,91.734,116.409,87.73,104.146,92.862,73.02,88.654,90.523,90.473,113.15,,92.461,63.372,75.696,89.085,94.708,93.772,98.39,97.793,104.979,92.357,93.199,93.492,95.594,94.97,96.68
2017.07 ,97.499,89.731,72.771,84.047,91.658,100.08,87.271,91.676,105.631,105.612,139.508,89.714,97.804,88.651,102.991,91.104,72.268,87.792,88.474,90.955,109.12,,95.047,64.177,76.407,90.24,93.706,93.789,98.354,98.426,102.944,92.4,93.584,93.652,95.707,95.107,96.644
2017.08 ,98.058,94.776,73.428,105.443,96.211,99.081,87.456,92.666,104.436,104.834,130.733,88.795,90.413,88.942,102.623,89.929,72.428,85.618,87.568,91.379,107.865,,94.124,65.567,77.87,90.934,94.802,93.863,98.528,98.556,104.145,92.696,93.96,94.089,95.773,95.19,96.807
2017.09 ,98.172,96.589,76.638,109.699,100.215,97.674,88.679,93.004,104.308,100.736,110.882,88.994,93.141,87.912,102.276,87.456,76.477,82.905,87.771,92.905,108.195,,94.8,66.618,78.581,91.703,95.215,93.872,98.684,98.612,106.148,93.034,94.282,94.178,96.131,95.364,96.989
2017.10 ,98.077,92.341,80.743,89.433,97.795,95.989,89.84,94.859,99.079,100.196,106.655,90.774,100.492,86.418,101.037,87.578,80.658,85.666,95.79,93.516,112.554,,94.252,68.177,78.829,93.552,95.571,93.863,98.51,98.798,108.476,93.034,94.38,94.329,96.328,95.373,98.561
2017.11 ,97.347,87.968,82.228,79.745,87.088,93.122,88.432,93.423,92.436,102.966,108.044,92.19,97.875,87.887,101.006,90.446,84.628,87.888,101.813,92.831,113.517,,93.959,70.98,78.883,94.844,96.18,93.872,98.785,98.789,109.862,93.242,94.595,94.49,96.366,95.373,99.206
2017.12 ,97.698,90.058,83.474,81.109,93.756,93.73,88.199,94.252,94.033,103.485,107.451,92.745,96.009,88.236,100.039,91.405,85.652,87.702,107.792,92.953,114.544,,93.841,73.519,79.873,95.353,95.683,93.755,98.675,98.891,111.226,93.555,95.06,94.793,96.385,95.345,99.669
2018.01 ,98.106,92.106,84.345,88.56,98.108,91.976,89.252,93.593,90.255,99.47,102.34,92.786,97.193,88.776,100.417,91.838,87.287,88.33,99.219,91.24,115.368,,94.38,78.032,80.825,95.373,95.796,93.789,98.721,98.714,111.908,94.023,95.498,95.327,96.535,95.913,99.551
2018.02 ,98.855,96.765,86.078,103.993,103.67,92.08,89.577,95.144,90.347,100.238,99.017,93.208,101.826,86.294,101.205,92.919,87.118,88.627,93.363,91.012,115.013,,94.078,81.796,86.309,95.724,95.955,94.021,98.886,98.714,112.958,94.353,95.972,95.621,96.911,96.088,100.223
2018.03 ,98.751,93.794,87.938,94.905,98.526,91.194,89.531,94.921,89.151,101.659,92.837,93.689,101.244,88.518,102.308,93.85,87.738,88.716,85.062,92.953,113.53,,93.758,83.045,93.798,95.119,96.686,94.038,98.969,98.612,112.157,94.509,96.232,95.826,97.495,96.564,100.296
2018.04 ,98.931,94.18,89.816,92.044,102.234,91.489,90.018,94.823,90.94,102.499,85.763,94.243,101.174,89.124,102.171,95.514,87.118,89.786,85.546,94.055,110.108,,93.274,83.328,97.851,94.576,98.401,93.996,98.638,98.789,111.193,94.77,96.393,96.12,97.711,96.766,100.959
2018.05 ,98.979,92.509,90.337,87.812,97.107,91.385,89.368,93.575,91.661,100.694,86.968,94.839,101.365,88.635,102.791,97.921,86.418,91.87,86.091,93.043,106.116,,94.727,83.761,100.845,94.762,98.72,94.013,98.868,98.742,112.979,94.935,96.795,96.388,98.134,96.839,101.086
2018.06 ,98.779,90.217,90.695,79.986,91.562,92.801,89.415,94.137,96.36,99.034,82.984,94.798,97.845,88.153,103.579,98.993,84.656,94.803,86.038,91.624,100.945,,93.356,83.987,108.612,95.69,98.439,94.121,98.73,98.994,115.523,95.117,97.18,96.459,98.115,96.876,100.996
2018.07 ,98.59,90.771,91.369,83.143,86.34,95.936,89.794,94.564,103.733,101.701,83.431,94.409,95.899,89.083,103.894,94.743,85.586,95.066,85.704,93.174,97.992,,94.188,84.534,113.339,95.703,98.795,94.254,98.565,98.994,115.805,95.429,97.413,96.762,98.426,97.068,101.005
2018.08 ,99.462,99.166,92.206,107.493,104.114,95.676,90.196,93.388,100.484,109.046,90.301,93.084,91.055,88.477,103.663,89.468,86.803,95.01,84.482,94.414,98.867,,93.219,85.772,112.341,96.501,98.72,94.254,98.381,99.04,116.639,95.681,97.404,96.851,98.492,96.894,101.268
2018.09 ,100.221,104.874,93.392,123.222,113.672,97.005,91.435,94.832,101.214,107.261,97.414,92.488,88.698,86.269,102.497,87.634,88.475,93.651,83.91,94.92,101.668,,95.303,85.24,111.76,95.8,98.579,94.27,97.638,99.161,117.537,95.811,97.744,97.359,98.68,96.922,101.423
2018.10 ,100.041,100.207,98.3,101.476,111.409,95.771,91.528,96.945,97.537,105.269,96.413,93.631,89.139,87.074,102.192,87.042,90.918,96.929,94.638,94.773,104.937,,95.696,85.9,110.02,96.597,98.607,94.254,98.574,99.245,121.283,95.967,97.86,97.6,98.68,97.233,101.568
2018.11 ,99.33,94.641,100.852,90.688,98.369,91.889,91.288,96.303,88.549,103.755,92.633,94.218,91.637,89.058,101.426,84.823,92.722,96.156,104.952,94.797,106.813,,95.175,86.587,107.746,96.535,98.073,94.245,98.647,99.366,117.104,96.167,98.092,97.796,98.68,97.673,101.214
2018.12 ,98.988,94.7,102.047,85.567,103.984,91.437,90.994,97.087,87.536,103.661,91.739,94.343,89.621,89.855,100.964,84.973,93.643,95.342,110.878,93.198,106.927,,95.467,87.977,106.539,96.274,98.186,94.038,98.473,99.413,108.097,96.427,98.316,97.885,98.765,97.71,100.905
2019.01 ,98.884,94.406,102.124,86.822,103,90.586,91.195,96.731,84.205,112.978,89.64,93.275,90.824,88.037,100.512,84.738,90.307,95.045,101.531,92.081,104.481,,95.897,91.671,106.361,96.831,98.148,94.104,98.684,99.012,101.028,96.662,98.71,98.135,98.783,98.269,101.068
2019.02 ,99.311,95.397,102.081,88.303,106.83,90.595,91.845,97.881,83.777,113.258,86.929,93.2,93.161,86.983,100.176,85.998,88.964,95.252,95.526,92.309,104.126,,96.655,93.791,105.719,96.796,98.27,94.013,98.537,99.068,100.205,96.861,98.745,98.108,99.056,98.553,100.814
2019.03 ,99.121,93.525,102.038,82.707,105.324,89.648,91.35,97.052,83.512,107.873,83.489,92.761,93.021,88.967,99.976,85.66,89.189,94.003,87.542,92.187,103.949,,97.176,95.336,103.924,96.885,98.42,93.988,98.179,99.124,101.439,96.861,98.906,98.331,99.216,98.635,100.151
2019.04 ,99.481,94.801,101.569,81.124,108.571,93.096,91.474,96.775,91.341,107.22,90.553,93.142,94.013,87.929,100.05,87.907,88.175,94.265,87.894,94.161,101.376,,97.486,97.267,103.537,95.463,98.223,94.245,100.143,99.813,105.022,97.07,98.933,98.241,99.357,98.754,99.996
2019.05 ,99.652,93.634,101.706,79.152,102.748,93.748,91.52,97.141,92.938,104.782,92.021,93.647,94.966,87.912,99.378,89.553,89.913,94.589,88.395,93.671,101.566,,97.55,97.573,101.936,96.611,98.561,98.894,99.794,99.766,111.074,97.252,98.969,98.277,99.357,99.139,100.123
2019.06 ,99.491,91.804,101.39,77.983,95.018,93.452,91.164,98.103,92.838,102.25,90.398,93.987,97.423,84.866,99.84,91.659,89.452,95.707,88.755,93.892,100.59,,97.751,97.456,101.495,96.336,98.382,99.177,100.29,99.72,111.864,97.399,99.166,98.634,99.357,99.093,100.178
2019.07 ,99.187,90.511,101.031,77.82,88.995,93.313,91.636,97.114,92.537,99.107,91.865,94.252,96.761,85.953,100.438,93.859,87.78,97.06,88.984,93.361,95.977,,97.934,98.209,99.708,98.074,98.757,99.052,100.317,99.804,108.985,97.434,99.3,98.803,99.414,99.112,100.142
2019.08 ,99.425,91.955,100.485,88.35,87.01,93.365,92.286,97.907,92.016,100.518,89.825,92.24,91.857,88.112,100.838,85.989,85.403,97.626,87.05,93.851,94.735,,97.998,97.941,98.455,98.074,97.736,99.235,99.693,99.645,108.93,97.53,99.318,98.803,99.621,99.249,100.151
2019.09 ,99.794,96.32,100.673,96.924,95.201,96.284,93.432,99.842,97.437,100.725,93.031,93.382,92.77,90.768,100.481,88.311,88.569,95.618,88.14,94.194,99.31,,97.532,97.281,98.362,97.91,98.926,99.26,100.51,99.469,110.922,97.634,99.318,98.874,99.649,99.46,100.014
2019.10 ,100.041,96.421,100.698,99.87,90.814,96.97,94.237,100.154,96.971,103.153,98.142,94.558,92.579,95.849,100.459,88.716,88.644,95.901,96.731,95.287,99.64,,97.779,97.272,97.975,98.116,98.851,99.417,100.767,99.124,111.875,97.955,99.747,99.097,99.649,99.46,99.569
